id,Date,Species,Height
Pa1,2020-04,Pandanus tectorius,40.35601109
Pr1,2020-04,Premna.serratifolia,28.24514657
Ix1,2020-04,Ixora.triantha,18.24837174
Pa2,2020-04,Pandanus tectorius,31.48095835
Pr2,2020-04,Premna.serratifolia,38.78475025
Ix2,2020-04,Ixora.triantha,20.14564036
Pa3,2020-04,Pandanus tectorius,32.39973446
Pr3,2020-04,Premna.serratifolia,38.93653151
Ix3,2020-04,Ixora.triantha,10.16109386
Pa4,2020-04,Pandanus tectorius,37.67098553
Pr4,2020-04,Premna.serratifolia,11.99619644
Ix4,2020-04,Ixora.triantha,13.85884683
Pa5,2020-04,Pandanus tectorius,21.55711269
Pr5,2020-04,Premna.serratifolia,29.36127213
Ix5,2020-04,Ixora.triantha,18.88063785
Pa6,2020-04,Pandanus tectorius,29.70387337
Pr6,2020-04,Premna.serratifolia,27.42668469
Ix6,2020-04,Ixora.triantha,23.44881818
Pa7,2020-04,Pandanus tectorius,33.79435586
Pr7,2020-04,Premna serratifolia,41.39902442
Ix7,2020-04,Ixora.triantha,19.46324873
Pa8,2020-04,Pandanus tectorius,49.57205389
Pr8,2020-04,Premna serratifolia,32.19323074
Ix8,2020-04,Ixora.triantha,15.05734182
Pa9,2020-04,Pandanus tectorius,27.18472981
Pr9,2020-04,Premna serratifolia,21.97840401
Ix9,2020-04,Ixora.triantha,29.93705773
Pa10,2020-04,Pandanus tectorius,58.43963893
Pr10,2020-04,Premna serratifolia,31.43445644
Ix10,2020-04,Ixora.triantha,17.45218957
Pa11,2020-04,Pandanus tectorius,48.82706921
Pr11,2020-04,Premna serratifolia,29.21420366
Ix11,2020-04,Ixora.triantha,29.43989239
Pa12,2020-04,Pandanus tectorius,52.36533099
Pr12,2020-04,Premna serratifolia,19.57320708
Ix12,2020-04,Ixora.triantha,19.9071413
Pa13,2020-04,Pandanus tectorius,49.46040668
Pr13,2020-04,Premna serratifolia,25.83207137
Ix13,2020-04,Ixora.triantha,16.11492575
Pa14,2020-04,Pandanus tectorius,53.17888112
Pr14,2020-04,Premna serratifolia,17.27285185
Ix14,2020-04,Ixora.triantha,12.80787736
Pa15,2020-04,Pandanus tectorius,53.69242107
Pr15,2020-04,Premna serratifolia,41.58207694
Ix15,2020-04,Ixora.triantha,24.41314514
Pa16,2020-04,Pandanus tectorius,16.92139892
Pr16,2020-04,Premna serratifolia,20.45848614
Ix16,2020-04,Ixora.triantha,27.7201227
Pa17,2020-04,Pandanus tectorius,34.16208721
Pr17,2020-04,Premna serratifolia,23.46208911
Ix17,2020-04,Ixora.triantha,21.43492054
Pa18,2020-04,Pandanus tectorius,47.12127927
Pr18,2020-04,Premna serratifolia,34.37734162
Ix18,2020-04,Ixora.triantha,35.65899188
Pa19,2020-04,Pandanus tectorius,52.10235908
Pr19,2020-04,Premna serratifolia,36.31456228
Ix19,2020-04,Ixora.triantha,33.95624898
Pa20,2020-04,Pandanus tectorius,49.46461413
Pr20,2020-04,Premna serratifolia,32.73342429
Ix20,2020-04,Ixora.triantha,25.57867718
Pa21,2020-04,Pandanus tectorius,41.36987935
Pr21,2020-04,Premna serratifolia,33.83670155
Ix21,2020-04,Ixora.triantha,21.02496668
